year,month,day,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,WD
2013,3,1,1,1,1,1,3,1,1,4,1,1,4,8
2013,3,2,1,1,1,2,3,1,1,4,1,1,1,2
2013,3,3,3,2,2,3,4,1,1,4,1,1,2,2
2013,3,4,1,1,1,2,3,1,2,4,1,1,3,6
2013,3,5,4,3,2,3,4,1,1,3,1,1,1,2
2013,3,6,5,4,2,3,5,1,1,2,2,1,1,2
2013,3,7,6,4,2,3,6,1,1,1,2,1,1,2
2013,3,8,5,4,2,3,5,1,2,1,2,1,2,6
2013,3,9,2,3,1,2,3,1,1,1,1,1,4,2
2013,3,10,1,2,1,2,3,1,1,4,1,1,3,6
2013,3,11,4,3,2,3,4,1,1,3,1,1,2,6
2013,3,12,4,2,1,2,4,1,1,3,2,2,1,1
2013,3,13,1,1,1,1,3,1,1,4,1,1,3,2
2013,3,14,3,2,2,2,3,1,1,4,2,1,3,6
2013,3,15,5,4,2,3,4,1,1,4,2,1,1,2
2013,3,16,5,4,2,3,4,1,1,4,2,1,2,5
2013,3,17,6,4,2,3,5,1,2,1,3,1,1,6
2013,3,18,2,2,1,2,3,1,1,1,1,2,4,2
2013,3,19,2,1,1,2,3,1,1,3,2,2,2,2
2013,3,20,2,1,1,2,3,1,1,4,2,2,3,6
2013,3,21,4,3,1,3,4,1,1,2,2,1,2,2
2013,3,22,3,2,1,2,3,1,1,3,2,1,4,2
2013,3,23,2,2,1,2,3,1,1,2,1,1,3,2
2013,3,24,1,1,1,1,3,1,1,4,1,1,4,2
2013,3,25,3,2,2,3,3,1,1,4,1,1,2,6
2013,3,26,5,4,2,3,4,1,1,2,2,1,2,6
2013,3,27,3,2,1,2,3,1,2,2,2,1,4,2
2013,3,28,1,2,1,1,3,1,1,4,1,1,3,2
2013,3,29,3,2,1,3,4,1,1,4,1,1,2,2
2013,3,30,3,2,2,2,4,1,1,4,2,1,2,2
2013,3,31,5,3,1,2,3,1,1,3,3,1,1,2
2013,4,1,3,2,1,1,3,1,2,3,2,1,4,2
2013,4,2,3,2,1,2,3,1,2,3,2,1,2,6
2013,4,3,4,3,2,3,4,1,2,2,2,1,2,6
2013,4,4,2,2,2,3,4,1,1,3,2,2,1,2
2013,4,5,2,1,1,2,3,1,1,3,2,2,3,2
2013,4,6,1,1,1,1,3,1,1,3,1,1,2,6
2013,4,7,3,2,1,2,3,1,1,1,2,1,2,2
2013,4,8,1,2,1,1,3,1,1,2,1,1,4,8
2013,4,9,1,1,1,1,3,1,1,4,1,1,4,8
2013,4,10,1,1,1,1,3,1,1,3,1,1,4,8
2013,4,11,1,2,1,2,3,1,2,3,1,1,3,2
2013,4,12,2,2,1,3,3,1,2,2,2,1,3,6
2013,4,13,2,2,1,2,3,1,3,1,2,1,4,2
2013,4,14,1,2,1,2,3,1,2,2,2,1,3,6
2013,4,15,2,3,2,2,3,1,2,1,3,1,2,4
2013,4,16,2,3,1,2,3,1,2,1,2,1,3,2
2013,4,17,2,2,1,2,3,1,2,2,2,1,3,6
2013,4,18,1,1,1,1,2,1,2,4,1,1,4,2
2013,4,19,2,2,1,2,3,1,1,4,2,2,4,6
2013,4,20,2,2,1,2,3,1,1,4,2,1,3,6
2013,4,21,4,3,1,2,3,1,2,3,3,1,3,6
2013,4,22,5,3,1,2,3,1,2,2,3,1,2,6
2013,4,23,5,3,1,2,3,1,2,2,4,1,1,6
2013,4,24,3,2,1,1,3,1,2,2,3,1,2,2
2013,4,25,1,1,1,1,3,1,2,2,2,1,3,2
2013,4,26,2,3,1,2,3,1,3,1,3,1,1,4
2013,4,27,2,2,1,2,3,1,3,2,3,1,1,4
2013,4,28,2,2,2,2,4,1,3,2,3,1,1,2
2013,4,29,1,2,1,1,2,1,3,2,2,1,3,8
2013,4,30,1,2,1,2,2,1,4,2,2,1,2,2
2013,5,1,2,2,1,2,3,1,3,3,3,1,3,6
2013,5,2,3,2,1,2,3,1,3,2,3,1,2,4
2013,5,3,3,2,1,1,3,2,3,3,3,1,3,6
2013,5,4,3,2,1,1,3,1,3,3,4,1,2,6
2013,5,5,5,3,1,2,3,1,4,3,4,1,1,2
2013,5,6,5,4,1,2,4,2,4,3,4,1,1,6
2013,5,7,5,3,2,3,4,1,4,3,4,1,1,2
2013,5,8,4,3,2,2,3,1,3,2,4,2,2,6
2013,5,9,2,2,1,2,3,1,3,1,4,1,1,6
2013,5,10,2,2,1,2,3,1,4,1,3,1,3,8
2013,5,11,2,2,1,2,3,1,4,1,3,1,2,8
2013,5,12,2,2,1,2,3,1,4,1,3,1,1,2
2013,5,13,3,3,2,3,4,1,4,1,3,1,1,6
2013,5,14,2,2,1,2,3,1,4,1,3,1,2,1
2013,5,15,2,3,2,2,3,1,4,3,4,1,1,6
2013,5,16,4,2,1,2,3,1,4,3,4,1,2,6
2013,5,17,3,2,1,2,3,1,4,2,4,1,1,6
2013,5,18,4,3,1,2,3,1,4,1,4,1,3,6
2013,5,19,2,3,1,1,3,1,4,1,3,1,4,8
2013,5,20,2,2,1,2,2,1,4,1,3,1,4,6
2013,5,21,3,3,1,2,2,2,4,1,4,1,1,2
2013,5,22,2,2,1,2,2,1,4,2,4,1,1,6
2013,5,23,2,2,1,3,4,1,4,2,4,1,1,2
2013,5,24,3,3,1,2,4,1,4,2,4,1,1,2
2013,5,25,2,2,1,2,3,1,4,2,4,1,1,6
2013,5,26,3,2,1,2,3,1,4,1,4,2,1,4
2013,5,27,2,2,1,2,3,1,3,1,4,2,1,2
2013,5,28,2,2,1,2,3,1,3,1,4,2,2,6
2013,5,29,1,2,1,1,2,1,4,1,3,1,4,8
2013,5,30,2,2,1,3,3,1,4,1,4,1,4,6
2013,5,31,3,3,1,2,3,2,4,1,4,1,2,6
2014,3,1,3,2,1,2,4,1,1,4,1,1,3,2
2014,3,2,4,3,2,3,5,1,1,4,2,1,2,2
2014,3,3,5,4,2,3,6,1,1,4,2,1,1,2
2014,3,4,2,2,1,1,3,1,1,4,1,1,4,8
2014,3,5,1,1,1,2,3,1,1,4,1,1,3,6
2014,3,6,1,1,1,1,3,1,1,4,1,1,3,2
2014,3,7,2,2,1,2,3,1,1,4,1,1,2,2
2014,3,8,4,3,2,3,4,1,1,4,1,1,1,2
2014,3,9,3,2,1,2,4,1,1,4,1,1,2,6
2014,3,10,3,2,2,2,4,1,1,4,2,1,1,2
2014,3,11,5,3,2,3,5,1,1,3,2,1,3,2
2014,3,12,1,1,1,1,3,1,1,4,1,1,4,2
2014,3,13,1,2,1,2,3,1,1,4,1,1,3,6
2014,3,14,1,2,1,1,3,1,2,3,1,1,4,6
2014,3,15,3,3,1,3,4,1,2,2,1,1,1,2
2014,3,16,3,3,2,2,4,1,2,3,2,1,1,4
2014,3,17,3,4,1,2,3,1,2,2,2,1,4,8
2014,3,18,2,2,1,2,3,1,2,4,2,1,4,6
2014,3,19,2,2,1,2,3,1,1,4,2,1,3,2
2014,3,20,1,1,1,1,2,1,2,4,1,1,3,2
2014,3,21,1,2,1,2,3,1,2,3,2,1,2,6
2014,3,22,2,3,1,2,3,1,2,3,2,1,2,2
2014,3,23,4,3,1,3,4,1,2,4,2,1,1,6
2014,3,24,5,4,2,3,4,1,2,2,3,1,1,2
2014,3,25,5,4,1,3,4,1,2,2,3,1,1,2
2014,3,26,6,4,2,3,4,1,2,2,4,1,1,2
2014,3,27,5,4,1,3,4,1,2,2,4,1,1,2
2014,3,28,4,3,1,2,4,1,3,1,4,2,1,2
2014,3,29,2,2,1,1,3,1,3,2,3,1,3,2
2014,3,30,2,2,1,2,3,1,3,3,2,1,1,6
2014,3,31,4,3,1,3,4,1,3,3,3,1,1,2
2014,4,1,4,2,1,2,3,1,3,2,3,1,2,6
2014,4,2,3,3,1,2,3,1,3,3,3,1,2,2
2014,4,3,1,2,1,2,3,1,2,4,1,1,4,2
2014,4,4,1,2,1,2,3,1,2,3,2,1,4,2
2014,4,5,1,2,1,1,3,1,2,4,1,1,3,6
2014,4,6,2,3,1,2,3,1,2,3,2,1,3,6
2014,4,7,3,3,1,3,3,1,3,2,3,1,1,6
2014,4,8,5,4,1,3,4,1,3,2,3,1,2,6
2014,4,9,4,4,1,2,3,1,4,2,3,1,2,2
2014,4,10,3,5,1,2,3,1,3,4,2,1,1,6
2014,4,11,2,2,1,2,3,1,2,3,3,1,1,6
2014,4,12,3,3,1,3,4,1,2,3,3,1,1,6
2014,4,13,5,3,1,3,3,1,3,3,4,1,1,6
2014,4,14,5,4,1,3,4,1,3,3,4,1,1,2
2014,4,15,3,3,1,2,3,1,3,3,4,1,2,6
2014,4,16,2,2,1,3,3,1,3,2,3,1,1,6
2014,4,17,3,3,1,3,3,1,2,2,4,2,1,2
2014,4,18,4,3,1,2,3,1,3,3,4,1,1,6
2014,4,19,2,2,1,3,3,1,2,4,3,1,2,6
2014,4,20,2,2,1,2,3,1,2,3,3,1,1,2
2014,4,21,2,2,1,2,3,1,3,3,3,1,1,2
2014,4,22,2,2,1,2,3,1,3,2,3,1,2,6
2014,4,23,4,3,1,2,3,1,3,2,4,1,1,6
2014,4,24,4,2,1,2,3,1,3,2,4,1,2,6
2014,4,25,4,3,1,3,3,1,3,3,4,2,2,2
2014,4,26,3,2,1,1,2,1,3,4,3,2,2,2
2014,4,27,3,2,1,1,2,1,3,4,3,1,1,2
2014,4,28,3,2,1,1,2,1,3,3,3,1,1,6
2014,4,29,3,2,1,2,3,2,3,2,4,1,2,6
2014,4,30,4,3,1,2,3,1,4,1,4,1,2,6
2014,5,1,4,3,1,2,3,1,3,1,4,2,3,6
2014,5,2,2,2,1,1,2,1,2,3,2,2,4,1
2014,5,3,2,3,1,2,3,1,2,2,2,1,4,1
2014,5,4,2,2,1,1,2,1,2,3,1,1,4,1
2014,5,5,2,2,1,2,3,1,2,3,2,1,3,2
2014,5,6,3,2,1,2,3,1,2,1,3,2,1,2
2014,5,7,2,2,1,2,3,1,3,1,3,1,2,2
2014,5,8,3,2,1,2,3,1,3,2,4,1,2,6
2014,5,9,2,2,1,2,3,1,3,3,3,1,1,4
2014,5,10,2,2,1,2,3,1,3,3,4,2,1,2
2014,5,11,1,1,1,1,3,1,2,1,4,2,1,2
2014,5,12,2,2,1,2,3,1,4,1,4,1,3,6
2014,5,13,2,2,1,2,3,1,4,1,3,1,3,2
2014,5,14,1,2,1,1,2,1,3,1,2,1,3,2
2014,5,15,2,3,1,2,3,1,3,1,3,1,1,6
2014,5,16,2,3,1,2,3,1,4,1,3,1,1,2
2014,5,17,2,3,1,2,3,1,4,2,4,1,2,6
2014,5,18,3,3,1,2,3,2,4,1,4,1,2,6
2014,5,19,3,3,1,2,3,2,4,1,4,2,1,6
2014,5,20,3,3,1,2,3,2,4,1,4,1,2,2
2014,5,21,3,3,1,2,3,2,4,1,4,1,1,6
2014,5,22,5,3,1,2,3,1,4,1,4,1,2,6
2014,5,23,3,3,1,2,3,2,4,1,4,1,2,6
2014,5,24,3,2,1,2,3,1,4,1,4,2,1,2
2014,5,25,3,2,1,1,3,1,4,1,4,1,3,8
2014,5,26,1,2,1,2,3,1,4,1,3,1,1,6
2014,5,27,2,2,1,2,2,1,4,1,3,1,3,2
2014,5,28,2,1,1,2,3,1,4,1,4,1,3,6
2014,5,29,2,2,1,3,3,1,4,1,4,1,1,2
2014,5,30,3,2,1,2,3,2,4,1,4,1,1,4
2014,5,31,4,3,1,2,4,2,4,1,4,2,1,2
2015,3,1,1,2,1,1,3,1,1,4,1,1,4,6
2015,3,2,2,2,1,2,3,1,1,2,1,1,4,8
2015,3,3,1,2,1,1,2,1,1,4,1,1,4,1
2015,3,4,1,1,1,1,3,1,1,4,1,1,3,6
2015,3,5,4,2,2,2,4,1,1,4,1,1,3,6
2015,3,6,5,3,2,3,4,1,1,4,1,1,1,2
2015,3,7,5,4,2,3,5,1,1,4,2,1,1,4
2015,3,8,4,2,1,2,4,1,1,4,1,1,4,2
2015,3,9,1,1,1,1,2,1,1,4,1,1,4,2
2015,3,10,1,1,1,2,3,1,1,4,1,1,3,6
2015,3,11,2,2,1,2,3,1,1,4,1,1,2,4
2015,3,12,3,2,1,3,4,1,1,3,1,1,2,4
2015,3,13,2,2,1,2,3,1,1,4,1,1,2,2
2015,3,14,3,2,1,3,4,1,1,4,1,1,1,3
2015,3,15,3,3,1,2,4,1,1,3,1,1,3,6
2015,3,16,5,4,1,3,4,1,2,2,2,1,2,3
2015,3,17,5,3,1,2,4,1,2,4,2,1,3,4
2015,3,18,2,2,1,2,3,1,1,3,1,1,2,6
2015,3,19,3,3,1,3,3,1,2,3,1,1,2,6
2015,3,20,2,3,1,2,3,1,2,3,1,1,2,8
2015,3,21,1,2,1,1,3,1,2,3,1,1,4,8
2015,3,22,1,2,1,1,2,1,2,4,1,1,4,6
2015,3,23,2,2,1,2,3,1,2,4,1,1,3,6
2015,3,24,3,2,1,2,4,1,1,4,1,1,2,4
2015,3,25,4,3,1,3,4,1,2,4,2,1,3,6
2015,3,26,3,3,1,2,3,1,2,4,2,1,4,6
2015,3,27,3,3,1,2,3,1,2,4,2,1,4,6
2015,3,28,2,3,1,1,3,1,3,3,2,1,4,8
2015,3,29,3,4,1,3,3,1,2,3,2,1,2,2
2015,3,30,5,5,1,3,4,1,3,2,3,1,1,4
2015,3,31,4,3,1,2,4,1,2,3,3,2,2,4
2015,4,1,2,2,1,2,3,1,1,4,2,2,1,2
2015,4,2,1,1,1,1,3,1,1,1,3,2,4,8
2015,4,3,1,1,1,1,3,1,2,2,2,1,3,2
2015,4,4,2,2,1,1,3,2,2,2,3,1,3,6
2015,4,5,2,2,1,1,3,1,2,3,2,1,4,8
2015,4,6,1,1,1,1,2,1,1,4,1,1,4,2
2015,4,7,1,1,1,1,2,1,1,4,1,1,4,6
2015,4,8,3,2,1,2,3,1,1,4,2,1,3,6
2015,4,9,5,3,1,2,3,1,2,4,3,1,3,6
2015,4,10,5,3,1,2,3,1,2,4,3,1,2,2
2015,4,11,4,3,1,2,4,1,2,4,3,2,4,4
2015,4,12,1,1,1,1,2,1,1,4,2,2,4,2
2015,4,13,1,1,1,1,3,1,2,4,2,2,4,2
2015,4,14,2,2,1,2,3,1,3,1,2,1,3,6
2015,4,15,4,4,1,3,3,1,3,1,3,1,2,4
2015,4,16,2,3,1,1,2,1,3,2,1,1,4,8
2015,4,17,3,3,1,2,3,1,3,1,2,1,4,6
2015,4,18,4,4,1,3,4,1,3,2,4,2,1,4
2015,4,19,2,2,1,2,3,1,3,3,2,1,4,2
2015,4,20,3,2,1,2,3,1,2,3,2,1,4,6
2015,4,21,2,3,1,2,3,1,3,2,2,1,3,2
2015,4,22,2,2,1,2,3,1,3,3,3,1,4,6
2015,4,23,2,2,1,2,3,1,3,3,2,1,2,2
2015,4,24,2,3,1,2,3,1,3,4,3,1,4,6
2015,4,25,2,3,1,3,3,2,4,3,3,1,4,6
2015,4,26,3,3,1,2,3,2,4,2,4,1,4,6
2015,4,27,3,3,1,2,3,2,4,1,4,2,2,6
2015,4,28,2,2,1,2,3,1,3,2,4,1,2,2
2015,4,29,4,3,1,2,4,2,4,2,4,1,2,6
2015,4,30,3,3,1,2,3,2,4,2,4,1,3,4
2015,5,1,4,3,1,2,3,1,3,2,4,2,3,4
2015,5,2,2,2,1,1,3,1,3,2,4,1,2,6
2015,5,3,2,2,1,1,3,1,3,3,2,1,4,8
2015,5,4,1,2,1,1,2,1,3,3,1,1,4,6
2015,5,5,2,2,1,2,3,1,4,1,2,1,3,2
2015,5,6,1,2,1,1,2,1,3,2,1,1,3,4
2015,5,7,2,2,1,2,3,1,3,2,2,1,3,6
2015,5,8,2,2,1,2,3,1,3,2,3,1,3,2
2015,5,9,2,2,1,2,3,1,2,3,3,2,2,4
2015,5,10,2,2,1,2,3,1,2,3,3,2,2,2
2015,5,11,1,1,1,2,3,1,2,1,3,1,3,6
2015,5,12,1,2,1,2,3,1,3,1,3,1,2,8
2015,5,13,2,3,1,3,3,1,4,1,4,1,1,2
2015,5,14,1,2,1,1,2,1,4,1,3,1,4,8
2015,5,15,1,2,1,1,2,1,4,3,3,1,4,6
2015,5,16,2,2,1,2,3,2,4,2,3,1,4,6
2015,5,17,4,3,1,2,3,2,4,1,4,2,2,5
2015,5,18,2,2,1,2,3,1,4,1,3,1,4,8
2015,5,19,1,2,1,1,1,1,4,1,2,1,4,8
2015,5,20,1,1,1,1,2,1,4,3,3,1,4,8
2015,5,21,2,2,1,2,3,1,4,2,3,1,4,6
2015,5,22,2,2,1,2,3,2,4,2,4,1,2,6
2015,5,23,3,3,1,2,3,2,4,1,4,1,2,6
2015,5,24,4,3,1,2,3,2,4,1,4,1,3,6
2015,5,25,3,3,1,2,3,3,4,1,4,1,4,6
2015,5,26,3,3,1,2,3,3,4,1,4,1,4,6
2015,5,27,3,3,1,1,3,3,4,1,4,1,3,4
2015,5,28,3,2,1,2,3,3,4,1,4,1,3,6
2015,5,29,2,2,1,2,3,1,4,1,4,2,2,6
2015,5,30,2,2,1,2,3,2,4,1,4,1,3,2
2015,5,31,2,2,1,2,3,2,4,1,4,1,4,6
2016,3,1,4,2,1,2,4,1,1,4,1,1,1,2
2016,3,2,5,3,1,3,5,1,1,3,1,1,1,2
2016,3,3,6,4,2,3,6,1,1,2,2,1,1,2
2016,3,4,6,5,2,3,6,1,1,3,2,1,1,2
2016,3,5,2,5,1,1,3,1,1,4,1,1,4,8
2016,3,6,3,3,1,2,4,1,1,3,1,1,1,2
2016,3,7,2,2,1,1,3,1,1,4,1,1,4,8
2016,3,8,1,1,1,1,2,1,1,4,1,1,4,2
2016,3,9,2,1,1,1,2,1,1,4,1,1,4,8
2016,3,10,1,2,1,1,2,1,1,4,1,1,4,8
2016,3,11,1,2,1,1,3,1,1,4,1,1,2,6
2016,3,12,3,3,1,2,4,1,1,3,1,1,1,4
2016,3,13,1,2,1,1,3,1,1,4,1,1,4,8
2016,3,14,3,2,1,2,3,1,1,4,1,1,2,6
2016,3,15,4,3,2,2,4,1,1,3,1,1,2,6
2016,3,16,6,4,1,2,5,1,1,3,2,1,1,6
2016,3,17,6,4,1,2,5,1,2,2,3,1,1,2
2016,3,18,5,3,1,2,4,1,2,2,2,1,2,2
2016,3,19,2,2,1,1,3,1,2,4,2,1,2,4
2016,3,20,2,2,1,2,3,1,2,4,2,1,1,6
2016,3,21,4,3,1,2,3,1,2,4,2,1,2,6
2016,3,22,4,4,1,2,4,1,2,4,2,1,2,6
2016,3,23,1,1,1,1,3,1,1,4,1,1,3,2
2016,3,24,1,1,1,1,3,1,1,4,1,1,2,2
2016,3,25,1,1,1,1,3,1,1,4,1,1,2,2
2016,3,26,1,1,1,1,3,1,2,4,1,1,4,8
2016,3,27,1,1,1,1,3,1,3,4,1,1,3,8
2016,3,28,3,3,1,2,3,1,3,2,1,1,3,8
2016,3,29,1,2,1,1,2,1,3,3,2,1,3,6
2016,3,30,1,2,1,1,3,1,3,3,1,1,3,2
2016,3,31,5,4,2,2,4,1,2,1,3,1,2,2
2016,4,1,1,2,1,1,2,1,3,1,2,1,4,8
2016,4,2,1,1,1,1,2,1,2,4,1,1,4,8
2016,4,3,1,1,1,1,2,1,2,4,1,1,3,6
2016,4,4,2,2,1,1,3,1,2,2,2,1,3,6
2016,4,5,3,3,1,2,3,1,2,2,3,1,4,4
2016,4,6,4,3,1,2,4,1,2,2,3,1,1,2
2016,4,7,3,2,1,1,3,1,3,2,2,1,4,8
2016,4,8,1,2,1,1,2,1,3,3,1,1,4,6
2016,4,9,3,4,1,2,3,1,3,2,2,1,3,4
2016,4,10,3,3,1,1,3,1,2,3,1,1,2,4
2016,4,11,2,2,1,1,3,1,2,3,2,1,3,4
2016,4,12,3,2,1,2,3,1,2,1,3,2,1,2
2016,4,13,3,2,1,2,3,1,3,1,3,1,3,8
2016,4,14,1,2,1,1,2,1,3,3,2,1,4,2
2016,4,15,2,2,1,2,3,1,3,2,3,1,2,2
2016,4,16,1,2,1,1,2,1,2,2,2,2,4,8
2016,4,17,1,1,1,1,2,1,3,2,1,1,4,8
2016,4,18,1,1,1,1,2,1,2,3,1,1,4,8
2016,4,19,2,2,1,2,3,1,2,3,3,1,3,4
2016,4,20,2,2,1,1,3,1,3,2,3,1,3,2
2016,4,21,3,3,1,2,3,1,3,1,2,1,3,2
2016,4,22,2,2,1,1,2,1,3,2,1,1,4,8
2016,4,23,1,1,1,1,2,1,3,3,1,1,3,2
2016,4,24,3,2,1,2,3,1,3,2,3,1,3,6
2016,4,25,3,2,1,1,3,2,4,2,4,1,4,6
2016,4,26,2,2,1,1,4,1,3,3,3,1,3,4
2016,4,27,3,2,1,2,3,1,2,3,4,1,1,8
2016,4,28,3,2,1,2,3,1,3,3,4,1,3,4
2016,4,29,4,2,1,2,3,1,3,1,4,1,2,2
2016,4,30,5,3,1,2,3,2,4,1,4,1,3,4
2016,5,1,5,3,1,1,4,2,4,1,4,1,1,2
2016,5,2,2,2,1,1,2,1,2,1,4,2,4,8
2016,5,3,1,2,1,1,2,1,3,1,2,1,4,8
2016,5,4,1,2,1,2,3,1,4,1,2,1,1,4
2016,5,5,2,2,1,2,3,1,3,1,3,1,3,4
2016,5,6,2,3,1,1,1,1,3,2,1,1,4,8
2016,5,7,1,1,1,1,2,1,4,3,1,1,3,8
2016,5,8,2,2,1,1,3,1,3,2,3,1,4,6
2016,5,9,2,2,1,1,3,1,3,2,4,1,2,2
2016,5,10,2,2,1,1,3,1,4,2,4,1,3,6
2016,5,11,4,3,1,1,3,2,4,1,4,2,4,6
2016,5,12,2,2,1,1,3,1,3,2,3,2,4,8
2016,5,13,1,1,1,1,3,1,3,4,3,1,3,6
2016,5,14,2,1,1,1,3,1,2,3,4,2,2,6
2016,5,15,2,2,1,1,3,1,3,3,3,1,1,8
2016,5,16,1,1,1,1,3,1,4,1,3,1,4,6
2016,5,17,2,2,1,2,3,2,4,2,4,1,3,6
2016,5,18,2,2,1,1,3,2,4,2,4,1,4,6
2016,5,19,3,2,1,1,3,3,4,3,4,1,3,6
2016,5,20,3,2,1,1,3,2,4,3,4,1,2,4
2016,5,21,2,2,1,1,3,2,4,4,4,1,2,4
2016,5,22,2,2,1,2,3,2,4,3,3,1,1,2
2016,5,23,2,2,1,1,3,2,4,2,4,2,3,4
2016,5,24,1,1,1,1,2,1,4,1,3,1,3,6
2016,5,25,1,1,1,1,2,1,4,1,3,2,3,8
2016,5,26,1,2,1,1,2,1,4,2,3,1,3,8
2016,5,27,2,2,1,1,3,2,4,2,3,1,4,6
2016,5,28,2,2,1,1,3,2,4,1,4,1,4,6
2016,5,29,1,2,1,1,3,2,4,1,3,1,3,6
2016,5,30,3,2,1,1,3,3,4,1,4,1,1,2
2016,5,31,2,2,1,1,3,1,4,2,4,1,3,4
